Timestamp,Email,Gender,Marital Status,Department,GPA of last semester,CGPA,Class attendance,Self-study per week,Homework on time,Study materials access,Study environment,Library Usage,Interaction with teachers,Peers support,Stress,Current living situation,Financial aid,Employment,Own expenses,Contribution on family,Financial difficulties,Relationship with parents,Parents support,Internet access,Online resource usage,Technology comfort,Motivation,Extracurricular activities,Sleeping hours,Caffeine consumtion,Social media usage,Health condition,Engagement in hobbies,Primary academic goal,Career goal,Challenges in studies,External factors
08/10/2024 17:51:50,,Female,Unmarried,CSE,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),10–15 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Rarely,Very supportive,Often,Living in university accommodation (dorms),"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Never,Good (regular communication),Only financial support,"Yes, reliable access",Frequently,Very comfortable,Not motivated,Never,7–8 hours,Never,2–4 hours,"Yes, a physical condition",Regularly (once a week),Passing the course,"Yes, but it's unclear",to understand the topics i have to cover,"Yes. family ,health ,finances are major factors that affect our day to day life mental health as well as study"
10/10/2024 07:33:49,,Female,Unmarried,CSE,3.26-3.5 (Good),3-3.25 (Average),Regularly (More than 75%),10–15 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Very supportive,Often,Living with parents/guardians,"Yes, partial scholarship/financial aid","Yes, part-time","Yes, partially",No,Rarely,"Fair (some communication, but distant)",Only financial support,"Yes, but it is unreliable",Frequently,Very comfortable,Sometimes motivated,Never,5–6 hours,Daily,2–4 hours,"Yes, a physical condition",Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",Guidance ,No
10/10/2024 07:38:57,,Female,Unmarried,ME,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),5–10 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Regularly (weekly),Occasionally,Somewhat supportive,Often,Living with roommates,"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Never,Good (regular communication),Both financial and mental support,"Yes, but it is unreliable",Sometimes,Somewhat comfortable,Sometimes motivated,Never,5–6 hours,Never,2–4 hours,"Yes, a mental health condition",Frequently (more than once a week),Improving my GPA,No,,
10/10/2024 07:39:46,,Female,Unmarried,CSE ,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),Less than 5 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Rarely,Very supportive,Often,Living alone,"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Never,"Fair (some communication, but distant)",Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Never,Less than 5 hours,Occasionally (1–2 times a week),More than 4 hours,No,Occasionally (once a month),Improving my GPA,No,Mental stability ,No
10/10/2024 07:40:19,,Male,Unmarried,CSE,3-3.25 (Average),3-3.25 (Average),Regularly (More than 75%),5–10 hours,Always,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Rarely,Very supportive,Sometimes,Living with parents/guardians,No,"No, I am not working","No, my family supports me",No,Never,Good (regular communication),Only financial support,"Yes, but it is unreliable",Frequently,Very comfortable,Mostly motivated,Rarely,7–8 hours,Never,Less than 1 hour,"Yes, a physical condition",Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",Consistency,
10/10/2024 07:42:25,,Male,Married,CSE,3-3.25 (Average),3-3.25 (Average),Regularly (More than 75%),5–10 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Very supportive,Sometimes,Living with roommates,No,"Yes, but occasionally (temporary jobs)","Yes, partially","Yes, occasionally",Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Rarely,7–8 hours,Occasionally (1–2 times a week),1–2 hours,No,Regularly (once a week),Improving my GPA,"Yes, I have a specific goal",,
10/10/2024 07:42:44,,Female,Unmarried,Civil Engineering,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),More than 15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Very supportive,Sometimes,Living in university accommodation (dorms),"Yes, partial scholarship/financial aid","Yes, part-time","Yes, partially",No,Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, but it is unreliable",Sometimes,Somewhat comfortable,Mostly motivated,Often,5–6 hours,Regularly (3–5 times a week),2–4 hours,No,Frequently (more than once a week),Achieving the highest grade,"Yes, I have a specific goal",The practical applications of most of the topics are unknown  to me.,Yes. I think family support has great impact on our study.Being Healthy and financially stable helps to do better as well.
10/10/2024 07:43:19,,Male,Unmarried,CSE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),5–10 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Never,Never,Very supportive,Sometimes,Living in university accommodation (dorms),No,"Yes, part-time","Yes, partially","Yes, occasionally",Never,Good (regular communication),Both financial and mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Mostly motivated,Sometimes,7–8 hours,Occasionally (1–2 times a week),More than 4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",Concentration,No
10/10/2024 07:48:02,,Female,Unmarried,CSE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),10–15 hours,Most of the time,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Rarely,Very supportive,Always,Living with roommates,"Yes, partial scholarship/financial aid","Yes, part-time","Yes, fully","Yes, occasionally",Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Sometimes,Less than 5 hours,Daily,Less than 1 hour,"Yes, a mental health condition",Never,"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",Maintaining the hectic schedule.,No
10/10/2024 07:52:04,,Female,Unmarried,CSE ,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),10–15 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Very supportive,Often,Living alone,"Yes, partial scholarship/financial aid","Yes, part-time","Yes, partially","Yes, occasionally",Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Never,5–6 hours,Regularly (3–5 times a week),More than 4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",Inconsistency in my efforts ,Sometimes physical and mental sickness affects
